wahltermin_datum,wahl,Wahlkreis,AGS,Bez-Nr,Wahlberechtigte,Ohne Sperrvermerk,Mit Sperrvermerk,Nicht im W�hlerverzeichnis,Waehler,DavonMitWahlschein,UngueltigeErststimmen,UngueltigeZweitstimmen,GueltigeErststimmen,GueltigeZweitstimmen,CDU,CDU,SPD,SPD,GR�NE,GR�NE,FDP,FDP,DIE LINKE,DIE LINKE,PIRATEN,PIRATEN,pro NRW,pro NRW,NPD,NPD,Tierschutzpartei,Tierschutzpartei,FAMILIE,FAMILIE,BIG,BIG,Die PARTEI,Die PARTEI,�DP,�DP,FBI/Freie W�hler,FBI/Freie W�hler,AUF,AUF,FREIE W�HLER,FREIE W�HLER,Partei der Vernunft,Partei der Vernunft
13.05.2012,Landtagswahl NRW,107,5911000,4401,1134,1002,132,0,588,0,9,11,579,577,87,81,307,242,69,96,14,22,41,36,61,69,,10,,2,,5,,2,,1,,8,,0,,0,,1,,2,,0
13.05.2012,Landtagswahl NRW,107,5911000,4402,811,692,119,0,423,5,10,9,413,414,53,39,208,168,67,90,9,22,21,25,55,52,,6,,3,,3,,2,,0,,1,,0,,2,,0,,1,,0
13.05.2012,Landtagswahl NRW,107,5911000,4403,959,839,120,0,425,0,6,3,419,422,66,60,235,196,40,68,10,16,22,22,46,38,,6,,6,,4,,3,,0,,0,,0,,2,,0,,0,,1
13.05.2012,Landtagswahl NRW,107,5911000,4404,700,646,54,0,295,0,4,2,291,293,38,26,179,163,33,42,7,13,12,19,22,23,,1,,3,,0,,0,,2,,0,,0,,0,,0,,0,,1
13.05.2012,Landtagswahl NRW,107,5911000,4405,825,679,146,0,397,0,5,7,392,390,70,65,248,210,27,46,11,16,11,10,25,26,,6,,3,,3,,1,,0,,1,,0,,1,,0,,2,,0
13.05.2012,Landtagswahl NRW,107,5911000,4406,729,653,76,0,269,0,6,7,263,262,44,40,159,146,22,28,8,10,9,8,21,19,,5,,1,,2,,1,,0,,2,,0,,0,,0,,0,,0
13.05.2012,Landtagswahl NRW,107,5911000,4407,603,527,76,0,246,0,9,7,237,239,42,36,137,123,14,23,4,6,11,8,29,25,,7,,1,,5,,4,,0,,0,,0,,1,,0,,0,,0
13.05.2012,Landtagswahl NRW,107,5911000,4408,773,659,114,0,354,1,8,8,346,346,61,54,199,174,22,35,10,17,18,18,36,25,,8,,3,,4,,2,,1,,1,,0,,0,,2,,1,,1
13.05.2012,Landtagswahl NRW,107,5911000,4409,1091,968,123,0,496,0,13,11,483,485,84,80,275,231,42,61,8,10,20,20,54,53,,6,,5,,11,,2,,0,,2,,1,,0,,1,,0,,2
13.05.2012,Landtagswahl NRW,107,5911000,4501,990,861,129,0,548,0,8,10,540,538,118,106,286,250,47,68,21,27,16,20,52,52,,9,,2,,2,,0,,0,,0,,0,,0,,1,,0,,1
13.05.2012,Landtagswahl NRW,107,5911000,4502,796,708,88,0,360,1,6,4,354,356,37,31,223,206,33,33,6,12,16,15,39,44,,3,,0,,4,,2,,0,,2,,3,,0,,0,,1,,0
